time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
3120000,NORMAL:0,0.015704154002026342,3119000,1000,0,0,0,0,49133072,117000,49077014,343255884,65568891,56058,4,3003000,117000,0,343255884,0,343255884
3121000,NORMAL:0,0.015704154002026342,3120000,1000,0,0,0,0,49133072,117000,49077014,343255931,65568891,56058,4,3004000,117000,0,343255931,0,343255931
3180000,NORMAL:0,0.015704154002026342,3179000,1000,0,0,0,0,49133072,117000,49077014,343257540,65568891,56058,4,3063000,117000,0,343257540,0,343257540
3181000,NORMAL:0,0.015704154002026342,3180000,1000,0,0,0,0,49133072,117000,49077014,343257584,65568891,56058,4,3064000,117000,0,343257584,0,343257584
3240000,NORMAL:0,0.015704154002026342,3239000,1000,0,0,0,0,49133072,117000,49077014,343259193,65568891,56058,4,3123000,117000,0,343259193,0,343259193
3241000,NORMAL:0,0.015704154002026342,3240000,1000,0,0,0,0,49133072,117000,49077014,343259240,65568891,56058,4,3124000,117000,0,343259240,0,343259240
3300000,NORMAL:0,0.015704154002026342,3299000,1000,0,0,0,0,49133072,117000,49077014,343260848,65568891,56058,4,3183000,117000,0,343260848,0,343260848
3301000,NORMAL:0,0.015704154002026342,3300000,1000,0,0,0,0,49133072,117000,49077014,343260893,65568891,56058,4,3184000,117000,0,343260893,0,343260893
3360000,NORMAL:0,0.015704154002026342,3359000,1000,0,0,0,0,49133072,117000,49077014,343262502,65568891,56058,4,3243000,117000,0,343262502,0,343262502
3361000,NORMAL:0,0.015704154002026342,3360000,1000,0,0,0,0,49133072,117000,49077014,343262550,65568891,56058,4,3244000,117000,0,343262550,0,343262550
3420000,NORMAL:0,0.015704154002026342,3419000,1000,0,0,0,0,49133072,117000,49077014,343264157,65568891,56058,4,3303000,117000,0,343264157,0,343264157
3421000,NORMAL:0,0.015704154002026342,3420000,1000,0,0,0,0,49133072,117000,49077014,343264203,65568891,56058,4,3304000,117000,0,343264203,0,343264203
3480000,NORMAL:0,0.015704154002026342,3479000,1000,0,0,0,0,49133072,117000,49077014,343265814,65568891,56058,4,3363000,117000,0,343265814,0,343265814
3481000,NORMAL:0,0.015704154002026342,3480000,1000,0,0,0,0,49133072,117000,49077014,343265858,65568891,56058,4,3364000,117000,0,343265858,0,343265858
3540000,NORMAL:0,0.015704154002026342,3539000,1000,0,0,0,0,49133072,117000,49077014,343267467,65568891,56058,4,3423000,117000,0,343267467,0,343267467
3541000,NORMAL:0,0.015704154002026342,3540000,1000,0,0,0,0,49133072,117000,49077014,343267512,65568891,56058,4,3424000,117000,0,343267512,0,343267512
3600000,NORMAL:0,0.015704154002026342,3599000,1000,0,0,0,0,49133072,117000,49077014,343269122,65568891,56058,4,3483000,117000,0,343269122,0,343269122
3601000,NORMAL:0,0.015704154002026342,3600000,1000,0,0,0,0,49133072,117000,49077014,343269169,65568891,56058,4,3484000,117000,0,343269169,0,343269169
3660000,NORMAL:0,0.015704154002026342,3659000,1000,0,0,0,0,49133072,117000,49077014,343270775,65568891,56058,4,3543000,117000,0,343270775,0,343270775
3661000,NORMAL:0,0.015704154002026342,3660000,1000,0,0,0,0,49133072,117000,49077014,343270821,65568891,56058,4,3544000,117000,0,343270821,0,343270821
3720000,NORMAL:0,0.030901722391084088,3719000,1000,0,0,0,0,49133072,117000,49077014,343272431,65568891,56058,4,3603000,117000,0,343272431,0,343272431
3721000,NORMAL:0,0.015704154002026342,3720000,1000,0,0,3000.0,0,49133073,117000,49077014,343272476,65568892,56059,3,3604000,117000,0,343272476,0,343272476
3780000,NORMAL:0,0.015704154002026342,3779000,1000,0,0,3000.0,0,49133073,117000,49077014,343274084,65568892,56059,3,3663000,117000,0,343274084,0,343274084
