time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
4500000,NORMAL:0,0.0,4500000,0,0,0,10000.0,0,1,0,0,1,0,124048,1,1,3,4500000,0,1e-06,309989.04863221885,309989.04863221885,124048,0,0,16219
4560000,NORMAL:0,0.0,4560000,0,0,0,10000.0,0,1,0,0,1,0,125705,1,1,3,4560000,0,1e-06,315062.17363221885,315062.17363221885,125705,0,0,16219
4620000,NORMAL:0,0.0,4620000,0,0,0,10000.0,0,1,0,0,1,0,127360,1,1,3,4620000,0,1e-06,320127.79863221885,320127.79863221885,127360,0,0,16219
4680000,NORMAL:0,0.0,4680000,0,0,0,10000.0,0,1,0,0,1,0,129015,1,1,3,4680000,0,1e-06,325193.42363221885,325193.42363221885,129015,0,0,16219
4740000,NORMAL:0,0.0,4740000,0,0,0,10000.0,0,1,0,0,1,0,130670,1,1,3,4740000,0,1e-06,330259.04863221885,330259.04863221885,130670,0,0,16219
4800000,NORMAL:0,0.0,4800000,0,0,0,10000.0,0,1,0,0,1,0,132323,1,1,3,4800000,0,1e-06,335317.17363221885,335317.17363221885,132323,0,0,16219
4860000,NORMAL:0,0.0,4860000,0,0,0,10000.0,0,1,0,0,1,0,133978,1,1,3,4860000,0,1e-06,340382.79863221885,340382.79863221885,133978,0,0,16219
4920000,NORMAL:0,0.0,4920000,0,0,0,10000.0,0,1,0,0,1,0,135632,1,1,3,4920000,0,1e-06,345442.17363221885,345442.17363221885,135632,0,0,16219
4980000,NORMAL:0,0.0,4980000,0,0,0,10000.0,0,1,0,0,1,0,137289,1,1,3,4980000,0,1e-06,350515.29863221885,350515.29863221885,137289,0,0,16219
5040000,NORMAL:0,0.0,5040000,0,0,0,10000.0,0,1,0,0,1,0,138943,1,1,3,5040000,0,1e-06,355579.67363221885,355579.67363221885,138943,0,0,16219
